twocat,year,dif_amind,dif_asian,dif_black,dif_hispa,dif_multi,dif_pacis,dif_white
For-Profit 2-year,2009,0.3220285,-1.151491,10.67914,0.7157213,-0.3309685,,-16.66109
For-Profit 2-year,2010,0.1962506,-2.410504,10.88692,-0.6141993,-0.8313784,0.1841633,-13.36385
For-Profit 2-year,2011,0.3392427,-2.434234,11.42651,0.8211643,-0.0686188,0.3902679,-14.92137
For-Profit 2-year,2012,0.3657884,-2.481214,12.67568,-0.4219204,0.1308694,0.2786914,-15.4984
For-Profit 2-year,2013,0.4209652,-2.59906,13.12948,-0.5053782,0.335343,0.3638915,-15.86702
For-Profit 2-year,2014,0.3569577,-2.592716,13.76388,-0.2303298,0.2606124,0.3743965,-16.15283
For-Profit 2-year,2015,0.3659884,-2.361965,12.50331,0.8013527,0.785139,0.2932378,-15.07004
For-Profit 2-year,2016,0.4657438,-2.032645,11.76042,1.066242,0.0572903,0.3428279,-14.26615
For-Profit 2-year,2017,0.4719365,-2.056746,11.40952,2.395927,0.0944844,0.3870649,-14.42488
Public 2-year,2009,0.359293,0.9624025,1.988286,-1.041685,-0.9156221,,-2.342667
Public 2-year,2010,0.224217,-0.3262649,2.702145,-0.6782863,-0.9898787,0.1521241,-0.6511962
Public 2-year,2011,0.3286755,-0.5053336,3.117321,0.3601799,-0.0649986,0.1406707,-3.426941
Public 2-year,2012,0.294425,-0.6167406,2.587917,1.261282,0.1452175,0.1294695,-3.496933
Public 2-year,2013,0.2524111,-0.6569941,2.574334,2.049657,0.3487781,0.1116643,-3.888363
Public 2-year,2014,0.2439684,-0.7389251,2.284708,2.858678,0.5313618,0.0975535,-4.297894
Public 2-year,2015,0.2259385,-0.768864,1.686823,3.69729,0.6620378,0.0895901,-4.67868
Public 2-year,2016,0.2030156,-0.748678,1.481402,4.434912,0.732574,0.0834925,-4.975128
Public 2-year,2017,0.1685216,-0.8126593,1.481813,5.01016,0.8275183,0.0801751,-5.33008
