twocat,year,dif_amind,dif_asian,dif_black,dif_hispa,dif_twora,dif_pacis,dif_white
For-Profit 2-year,2009,0.3364555,-1.173922,10.4505,0.668651,-0.2861271,,-16.35747
For-Profit 2-year,2010,0.191065,-2.426449,10.92746,-0.7463003,-0.829295,0.1758044,-13.47357
For-Profit 2-year,2011,0.3356951,-2.446973,11.4264,0.8354324,-0.0709789,0.3844323,-15.00472
For-Profit 2-year,2012,0.3618825,-2.503877,12.64764,-0.3885689,0.1270626,0.2803081,-15.54945
For-Profit 2-year,2013,0.4190498,-2.60446,13.18602,-0.5230582,0.3387431,0.3768511,-15.94016
For-Profit 2-year,2014,0.3566711,-2.603044,13.86996,-0.2112736,0.2635716,0.3723803,-16.24634
For-Profit 2-year,2015,0.3621762,-2.370725,12.59831,0.8178198,0.7749304,0.2912685,-15.12112
For-Profit 2-year,2016,0.4649066,-2.033781,11.76821,1.058719,0.0523429,0.3429396,-14.24923
For-Profit 2-year,2017,0.4614294,-2.038922,11.40818,2.596755,0.0959306,0.3868584,-14.59548
Public 2-year,2009,0.4141731,0.7929984,1.882247,-1.168731,-0.9320284,,-2.120363
Public 2-year,2010,0.2238207,-0.3295597,2.708086,-0.662635,-0.9894071,0.1520167,-0.6459212
Public 2-year,2011,0.3319529,-0.5055969,3.115038,0.3565657,-0.0667842,0.1409017,-3.438711
Public 2-year,2012,0.294799,-0.6165885,2.590906,1.261397,0.1442207,0.1295233,-3.500892
Public 2-year,2013,0.2523739,-0.6570606,2.575186,2.049275,0.348662,0.1116514,-3.888568
Public 2-year,2014,0.2439139,-0.7389911,2.285521,2.858323,0.5312366,0.0975439,-4.29808
Public 2-year,2015,0.2259314,-0.7689008,1.687692,3.696869,0.6619022,0.0895816,-4.67893
Public 2-year,2016,0.2029976,-0.748763,1.481619,4.434404,0.7324127,0.0834839,-4.974565
Public 2-year,2017,0.1685957,-0.8127353,1.482937,5.009553,0.8273448,0.0801663,-5.330426
